lex,sp,gloss,voc_lex
JBWL/,subs,produce,יְבוּל
DJC/,subs,threshing,דַּיִשׁ
BYJR/,subs,vintage,בָּצִיר
G<L[,verb,abhor,געל
MWVH/,subs,yoke-bar,מֹוטָה
QWMMJWT/,subs,uprightness,קֹומְמִיּוּת
M>S[,verb,reject,מאס
BHLH/,subs,terror,בֶּהָלָה
CXPT/,subs,consumption,שַׁחֶפֶת
QDXT/,subs,inflammation,קַדַּחַת
DWB[,verb,pine away,דוב
RJQ/,subs,emptiness,רִיק
JSR[,verb,admonish,יסר
NXWCH/,subs,bronze,נְחוּשָׁה
QRJ/,subs,opposition,קְרִי
MKH/,subs,blow,מַכָּה
CMM[,verb,be desolate,שׁמם
NQM/,subs,vengeance,נָקָם
BMH/,subs,high place,בָּמָה
XMN/,subs,incense-stand,חַמָּן
GLWLJM/,subs,idols,גִּלּוּלִים
XRBH=/,subs,ruin,חָרְבָּה
RYH=[,verb,pay off,רצה
MRK/,subs,timidity,מֹרֶךְ
NDP[,verb,scatter,נדף
MNWSH/,subs,flight,מְנוּסָה
KCL[,verb,stumble,כשׁל
TQWMH/,subs,power to stand,תְּקוּמָה
MQQ[,verb,putrefy,מקק
KN<[,verb,be humble,כנע
MWR[,verb,exchange,מור
TMWRH/,subs,exchange,תְּמוּרָה
XRM/,subs,ban,חֵרֶם
BKR[,verb,be first-born,בכר
>LJYWR/,nmpr,Elizur,אֱלִיצוּר
CDJ>WR/,nmpr,Shedeur,שְׁדֵיאוּר
CLMJ>L/,nmpr,Shelumiel,שְׁלֻמִיאֵל
YWRJCDJ/,nmpr,Zurishaddai,צוּרִישַׁדַּי
NTN>L/,nmpr,Nethanel,נְתַנְאֵל
YW<R/,nmpr,Zuar,צוּעָר
>LJ>B/,nmpr,Eliab,אֱלִיאָב
XLN/,nmpr,Helon,חֵלֹן
>LJCM</,nmpr,Elishama,אֱלִישָׁמָע
<MJHWD/,nmpr,Ammihud,עַמִּיהוּד
GMLJ>L/,nmpr,Gamaliel,גַּמְלִיאֵל
PDHYWR/,nmpr,Pedahzur,פְּדָהצוּר
>BJDN/,nmpr,Abidan,אֲבִידָן
GD<NJ/,nmpr,Gideoni,גִּדְעֹנִי
>XJ<ZR/,nmpr,Ahiezer,אֲחִיעֶזֶר
<MJCDJ/,nmpr,Ammishaddai,עַמִּישַׁדָּי
PG<J>L/,nmpr,Pagiel,פַּגְעִיאֵל
<KRN/,nmpr,Ocran,עָכְרָן
>LJSP/,nmpr,Eliasaph,אֶלְיָסָף
D<W>L/,nmpr,Deuel,דְּעוּאֵל
>XJR</,nmpr,Ahira,אֲחִירַע
<JNN/,nmpr,Enan,עֵינָן
>LP==/,subs,group of thousand,אֶלֶף
QRB=/,adjv,approaching,קָרֵב
DGL/,subs,banner,דֶּגֶל
QYP/,subs,anger,קֶצֶף
LBNJ/,adjv,Libnite,לִבְנִי
CM<J/,adjv,Shimeite,שִׁמְעִי
GRCNJ/,adjv,Gershonite,גֵּרְשֻׁנִּי
L>L/,nmpr,Lael,לָאֵל
<MRMJ/,adjv,Amramite,עַמְרָמִי
JYHRJ/,adjv,Izharite,יִצְהָרִי
XBRNJ/,adjv,Hebronite,חֶבְרֹנִי
<ZJ>LJ/,adjv,Uzzielite,עָזִּיאֵלִי
QHTJ/,adjv,Kohathite,קְהָתִי
>LJYPN/,nmpr,Elizaphan,אֱלִיצָפָן
PQDH/,subs,commission,פְּקֻדָּה
MXLJ/,adjv,Mahlite,מַחְלִי
MWCJ/,adjv,Mushite,מוּשִׁי
YWRJ>L/,nmpr,Zuriel,צוּרִיאֵל
>BJXJL/,nmpr,Abihail,אֲבִיחַיִל
PDWJM/,subs,ransom,פְּדוּיִם
PDJWM/,subs,ransom,פִּדְיֹום
KSWJ/,subs,covering,כָּסוּי
MWV/,subs,bar,מֹוט
CRT/,subs,cultic service,שָׁרֵת
FVH[,verb,turn aside,שׂטה
QN>H/,subs,jealousy,קִנְאָה
QRQ</,subs,floor,קַרְקַע
YBH/,adjv,swollen,צָבֶה
YBH[,verb,swell,צבה
>MN,intj,surely,אָמֵן
XMY=/,subs,vinegar,חֹמֶץ
MCRH/,subs,liquid,מִשְׁרָה
JBC/,adjv,dry,יָבֵשׁ
XRYN/,subs,grape,חַרְצָן
ZG/,subs,skin of grape,זָג
T<R/,subs,knife,תַּעַר
PR</,subs,loose hair,פֶּרַע
PT</,subs,instant,פֶּתַע
PT>M,advb,suddenly,פִּתְאֹם
YB=/,subs,wagon,צָב
XNKH/,subs,dedication,חֲנֻכָּה
PVRH/,subs,first-born,פִּטְרָה
XYYRH/,subs,clarion,חֲצֹצְרָה
RW<[,verb,shout,רוע
XBB/,nmpr,Hobab,חֹבָב
TWR[,verb,spy,תור
>NN[,verb,complain,אנן
CQ<[,verb,collapse,שׁקע
TB<RH/,nmpr,Taberah,תַּבְעֵרָה
>SPSP/,subs,cluster,אֲסַפְסֻף
>WH[,verb,wish,אוה
QC>H/,subs,cucumber,קִשֻּׁאָה
>BVJX/,subs,water-melon,אֲבַטִּיחַ
XYJR=/,subs,leek,חָצִיר
BYL/,subs,onion,בָּצָל
CWMJM/,subs,garlic,שׁוּמִים
CWV[,verb,rove about,שׁוט
DWK[,verb,pound,דוך
MDKH/,subs,mortar,מְדֹכָה
PRWR/,subs,cooking pot,פָּרוּר
LCD/,subs,dainty,לָשָׁד
ZR>/,subs,nausea,זָרָא
QYR[,verb,be short,קצר
NB>[,verb,speak as prophet,נבא
>LDD/,nmpr,Eldad,אֶלְדָּד
MJDD/,nmpr,Medad,מֵידָד
BXRJM/,subs,youth,בְּחֻרִים
GWZ[,verb,pass along,גוז
CVX[,verb,spread,שׁטח
QBRWT_HT>WH/,nmpr,Kibroth Hattaavah,קִבְרֹות הַתַּאֲוָה
XYRWT/,nmpr,Hazeroth,חֲצֵרֹות
KCJ/,adjv,Ethiopian,כֻּשִׁי
<NW/,adjv,humble,עָנָו
XJDH/,subs,riddle,חִידָה
J>L=[,verb,be foolish,יאל
JRQ[,verb,spit,ירק
KLM[,verb,humiliate,כלם
CMW</,nmpr,Shammua,שַׁמּוּעַ
ZKWR==/,nmpr,Zaccur,זַכּוּר
CPV=/,nmpr,Shaphat,שָׁפָט
KLB=/,nmpr,Caleb,כָּלֵב
JPNH/,nmpr,Jephunneh,יְפֻנֶּה
JG>L/,nmpr,Igal,יִגְאָל
HWC</,nmpr,Hosea,הֹושֵׁעַ
PLVJ=/,nmpr,Palti,פַּלְטִי
RPW>/,nmpr,Raphu,רָפוּא
GDJ>L/,nmpr,Gaddiel,גַּדִּיאֵל
SWDJ/,nmpr,Sodi,סֹודִי
GDJ==/,nmpr,Gaddi,גַּדִּי
SWSJ/,nmpr,Susi,סוּסִי
<MJ>L/,nmpr,Ammiel,עַמִּיאֵל
GMLJ/,nmpr,Gemalli,גְּמַלִּי
STWR/,nmpr,Sethur,סְתוּר
MJK>L/,nmpr,Michael,מִיכָאֵל
NXBJ/,nmpr,Nahbi,נַחְבִּי
WPSJ/,nmpr,Vophsi,וָפְסִי
G>W>L/,nmpr,Geuel,גְּאוּאֵל
MKJ/,nmpr,Maki,מָכִי
RPH/,adjv,slack,רָפֶה
MBYR/,subs,fortification,מִבְצָר
RZH/,adjv,lean,רָזֶה
YN=/,nmpr,Zin,צִן
RXB====/,nmpr,Rehob,רְחֹב
XMT=/,nmpr,Hamath,חֲמָת
>XJMN/,nmpr,Ahiman,אֲחִימַן
CCJ=/,nmpr,Sheshai,שֵׁשַׁי
TLMJ/,nmpr,Talmai,תַּלְמַי
<NQ/,subs,neck,עֲנָק
Y<N/,nmpr,Zoan,צֹעַן
>CKL=/,nmpr,<valley of grapes>,אֶשְׁכֹּל
ZMWRH/,subs,shoot,זְמֹורָה
>PS/,subs,end,אֶפֶס
BYWR/,adjv,fortified,בָּצוּר
HSH[,verb,be still,הסה
BZ/,subs,spoiling,בַּז
N>Y[,verb,contemn,נאץ
GDL/,subs,greatness,גֹּדֶל
ZNWT/,subs,fornication,זְנוּת
TNW>H/,subs,opposition,תְּנוּאָה
<PL[,verb,be heedless,עפל
XRMH/,nmpr,Hormah,חָרְמָה
CLJCJT/,subs,third part,שְׁלִישִׁית
<RJSH/,subs,dough,עֲרִיסָה
XV>H==/,subs,error,חֶטְאָה
GDP[,verb,blaspheme,גדף
YJYT/,subs,tuft,צִיצִת
DTN=/,nmpr,Dathan,דָּתָן
>BJRM/,nmpr,Abiram,אֲבִירָם
>WN===/,nmpr,On,אֹון
PLT/,nmpr,Peleth,פֶּלֶת
QRJ>/,adjv,summoned,קָרִיא
FRR[,verb,rule,שׂרר
NQR[,verb,bore out,נקר
BRJ>H/,subs,what is created,בְּרִיאָה
RQ</,adjv,beaten,רִקֻּעַ
RMM=[,verb,rise,רמם
MHRH/,subs,haste,מְהֵרָה
YWY[,verb,blossom,צוץ
MRJ/,subs,rebellion,מְרִי
MCXH===/,subs,portion,מָשְׁחָה
JYHR/,subs,oil,יִצְהָר
XLP/,subs,return,חֵלֶף
JQB/,subs,pit,יֶקֶב
YMJD=/,subs,cover,צָמִיד
SL</,subs,rock,סֶלַע
MSLH/,subs,highway,מְסִלָּה
MKR/,subs,price,מֶכֶר
HR=/,nmpr,Mount Hor,הֹר
<RD/,nmpr,Arad,עֲרָד
>TRJM/,nmpr,Atharim,אֲתָרִים
QLQL/,subs,starvation-bread,קְלֹקֵל
FRP/,subs,serpent,שָׂרָף
>BT/,nmpr,Oboth,אֹבֹת
<JJ_H<BRJM/,nmpr,Iye Abarim,עִיֵּי הָעֲבָרִים
ZRD/,nmpr,Zered,זֶרֶד
>RNWN/,nmpr,Arnon,אַרְנֹון
WHB/,nmpr,Waheb,וָהֵב
SWPH=/,nmpr,Suphah,סוּפָה
>CD/,subs,slope,אָשֵׁד
<R==/,nmpr,Ar,עָר
B>R=/,nmpr,Beer,בְּאֵר
MTNH=/,nmpr,Mattanah,מַתָּנָה
NXLJ>L/,nmpr,Nahaliel,נַחֲלִיאֵל
BMWT/,nmpr,Bamoth,בָּמֹות
GJ>/,subs,valley,גַּיְא
PSGH/,nmpr,Pisgah,פִּסְגָּה
JCJMN/,nmpr,Jeshimon,יְשִׁימֹן
SJXWN/,nmpr,Sihon,סִיחֹון
JHYH/,nmpr,Jahzah,יָהְצָה
XCBWN==/,nmpr,Heshbon,חֶשְׁבֹּון
MCL=[,verb,say proverb,משׁל
LHBH/,subs,flame,לֶהָבָה
QRJH/,subs,town,קִרְיָה
>WJ,intj,woe,אֹוי
KMWC/,nmpr,Chemosh,כְּמֹושׁ
PLJV=/,subs,escaped one,פָּלֵיט
CBJT/,subs,captivity,שְׁבִית
DJBN/,nmpr,Dibon,דִּיבֹן
NPX/,nmpr,Nophah,נֹפַח
MJDB>/,nmpr,Medeba,מֵידְבָא
J<ZR/,nmpr,Jazer,יַעְזֵר
LKD[,verb,seize,לכד
BCN/,nmpr,Bashan,בָּשָׁן
<WG/,nmpr,Og,עֹוג
>DR<J/,nmpr,Edrei,אֶדְרֶעִי
FRJD/,subs,survivor,שָׂרִיד
<RBH/,subs,desert,עֲרָבָה
JRJXW/,nmpr,Jericho,יְרִיחֹוֿ יְרִחֹו
BLQ/,nmpr,Balak,בָּלָק
YPWR=/,nmpr,Zippor,צִפֹּור
GWR==[,verb,be afraid,גור
LXK[,verb,eat,לחך
BL<M/,nmpr,<prophet>,בִּלְעָם
PTWR/,nmpr,Pethor,פְּתֹור
QSM/,subs,divination,קֶסֶם
QBB[,verb,curse,קבב
FVN/,subs,adversary,שָׂטָן
CLP[,verb,draw,שׁלף
MC<WL/,subs,hollow way,מִשְׁעֹול
GDR/,subs,wall,גָּדֵר
YR/,adjv,narrow,צַר
SKN[,verb,serve,סכן
JRV[,verb,throw,ירט
QRJT_XYWT/,nmpr,Kiriath Huzoth,קִרְיַת חֻצֹות
BMWT_B<L/,nmpr,Bamoth Baal,בָּמֹות בַּעַל
CPJ/,subs,track,שְׁפִי
MCL/,subs,proverb,מָשָׁל
Z<M[,verb,curse,זעם
CWR[,verb,regard,שׁור
RB<==/,subs,dust,רֹבַע
KZB[,verb,lie,כזב
>WN=/,subs,wickedness,אָוֶן
TW<PWT/,subs,horns,תֹּועָפֹות
R>M/,subs,wild oxen,רְאֵם
NXC=/,subs,spell,נַחַשׁ
>RJ/,subs,lion,אֲרִי
JCR[,verb,be right,ישׁר
P<WR/,nmpr,Peor,פְּעֹור
CTM/,subs,<uncertain>,שְׁתֻם
>MR/,subs,word,אֵמֶר
GNH/,subs,garden,גַּנָּה
>HL==/,subs,aloe,אָהָל
DLJ/,subs,bucket,דְּלִי
>GG/,nmpr,Agag,אֲגַג
MLKWT/,subs,kingship,מַלְכוּת
GRM[,verb,gnaw,גרם
MXY[,verb,break,מחץ
SPQ[,verb,clap hands,ספק
DRK[,verb,tread,דרך
QRQR/,subs,<uncertain>,קַרְקַר
CT=/,subs,defiance,שֵׁת
JRCH=/,subs,possession,יְרֵשָׁה
QJN==/,nmpr,Kain,קַיִן
YJ=/,subs,ship,צִי
CVJM/,nmpr,Shittim,שִׁטִּים
YMD[,verb,attach,צמד
B<L_P<WR/,nmpr,Baal Peor,בַּעַל פְּעֹור
RMX/,subs,lance,רֹמַח
QBH=/,subs,women's room,קֻבָּה
DQR[,verb,pierce,דקר
QBH/,subs,rennet-bag,קֵבָה
ZMRJ/,nmpr,Zimri,זִמְרִי
SLW>/,nmpr,Salu,סָלוּא
CM<NJ/,adjv,Simeonite,שִׁמְעֹנִי
KZBJ/,nmpr,Cozbi,כָּזְבִּי
YWR==/,nmpr,Zur,צוּר
NKL/,subs,cunning,נֵכֶל
XNKJ/,adjv,Hanochite,חֲנֹכִי
PL>J=/,adjv,Palluite,פַּלֻּאִי
XYRWNJ/,adjv,Hezronite,חֶצְרֹונִי
KRMJ/,adjv,Carmite,כַּרְמִי
R>WBNJ/,adjv,Reubenite,רְאוּבֵנִי
NMW>L/,nmpr,Nemuel,נְמוּאֵל
NMW>LJ/,adjv,Nemuelite,נְמוּאֵלִי
JMJNJ=/,adjv,Jaminite,יָמִינִי
JKJNJ/,adjv,Jakinite,יָכִינִי
ZRXJ/,adjv,Zerahite,זַרְחִי
C>WLJ/,adjv,Shaulite,שָׁאוּלִי
YPWN==/,nmpr,Zephon,צְפֹון
YPWNJ/,adjv,Zephonite,צְפֹונִי
XGJ/,adjv,Haggite,חַגִּי
CWNJ/,adjv,Shunite,שׁוּנִי
>ZNJ=/,nmpr,Ozni,אָזְנִי
>ZNJ/,adjv,Oznite,אָזְנִי
<RJ/,adjv,Erite,עֵרִי
>RWD/,nmpr,Arodi,אֲרֹוד
>RWDJ=/,adjv,Arodite,אֲרֹודִי
>R>LJ/,adjv,Arelite,אַרְאֵלִי
CLNJ/,adjv,Shelanite,שֵׁלָנִי
PRYJ/,adjv,Perezite,פַּרְצִי
XMWLJ/,adjv,Hamulite,חָמוּלִי
TWL<J/,adjv,Tolaite,תֹּולָעִי
PWNJ/,adjv,Puite,פּוּנִי
JCWB/,nmpr,Jashub,יָשׁוּב
JCBJ/,adjv,Jashubite,יָשֻׁבִי
CMRNJ/,adjv,Shimronite,שִׁמְרֹנִי
SRDJ/,adjv,Seredite,סַרְדִּי
>LNJ/,adjv,Elonite,אֵלֹנִי
JXL>LJ/,adjv,Jahleelite,יַחְלְאֵלִי
ZBWLNJ/,adjv,Zebulunite,זְבוּלֹנִי
MKJRJ/,adjv,Makirite,מָכִירִי
GL<DJ/,adjv,Gileadite,גִּלְעָדִי
>J<ZR/,nmpr,Iezer,אִיעֶזֶר
>J<ZRJ/,adjv,Iezerite,אִיעֶזְרִי
XLQ====/,nmpr,Helek,חֵלֶק
XLQJ/,adjv,Helekite,חֶלְקִי
>FRJ>L/,nmpr,Asriel,אַשְׂרִיאֵל
>FRJ>LJ/,adjv,Asrielite,אַשְׂרִיאֵלִי
CKM===/,nmpr,Shechem,שֶׁכֶם
CKMJ/,adjv,Shechemite,שִׁכְמִי
CMJD</,nmpr,Shemida,שְׁמִידָע
CMJD<J/,adjv,Shemidaite,שְׁמִידָעִי
XPR/,nmpr,<son of Gilead>,חֵפֶר
XPRJ/,adjv,Hepherite,חֶפְרִי
YLPXD/,nmpr,Zelophehad,צְלָפְחָד
MXLH====/,nmpr,Mahlah,מַחְלָה
N<H/,nmpr,Noah,נֹעָה
XGLH/,nmpr,Hoglah,חָגְלָה
TRYH=/,nmpr,Tirzah,תִּרְצָה
CWTLX/,nmpr,Shuthelah,שׁוּתֶלַח
CTLXJ/,adjv,Shuthelahite,שֻׁתַלְחִי
BKRJ/,adjv,Bekerite,בַּכְרִי
TXN/,nmpr,Tahan,תַּחַן
TXNJ/,adjv,Tahanite,תַּחֲנִי
<RN/,nmpr,Eran,עֵרָן
<RNJ/,adjv,Eranite,עֵרָנִי
BL<J/,adjv,Belaite,בַּלְעִי
>CBLJ/,adjv,Ashbelite,אַשְׁבֵּלִי
>XJRM/,nmpr,Ahiram,אֲחִירָם
>XJRMJ/,adjv,Ahiramite,אֲחִירָמִי
CPWPM/,nmpr,Shupham,שְׁפוּפָם
CWPMJ/,adjv,Shuphamite,שׁוּפָמִי
XWPM/,nmpr,Hupham,חוּפָם
XWPMJ/,adjv,Huphamite,חוּפָמִי
>RDJ/,adjv,Ardite,אַרְדִּי
N<MJ/,adjv,Naamite,נַעֲמִי
CWXM/,nmpr,Shuham,שׁוּחָם
CWXMJ/,adjv,Shuhamite,שׁוּחָמִי
JCWJ/,adjv,Ishvite,יִשְׁוִי
BRJ<J/,adjv,Beriite,בְּרִיעִי
XBRJ/,adjv,Heberite,חֶבְרִי
MLKJ>LJ/,adjv,Malkielite,מַלְכִּיאֵלִי
JXY>LJ/,adjv,Jahzeelite,יַחְצְאֵלִי
GWNJ/,adjv,Gunite,גּוּנִי
JYRJ/,adjv,Jezerite,יִצְרִי
CLMJ/,adjv,Shillemite,שִׁלֵּמִי
MRRJ/,adjv,Merarite,מְרָרִי
<BRJM/,nmpr,Abarim,עֲבָרִים
HWD/,subs,splendour,הֹוד
>SR/,subs,obligation,אִסָּר
NW>[,verb,forbid,נוא
MBV>/,subs,promise,מִבְטָא
MWY>/,subs,issue,מֹוצָא
NQMH/,subs,vengeance,נְקָמָה
MSR[,verb,assign,מסר
>WJ/,nmpr,Evi,אֱוִי
RQM/,nmpr,Rekem,רֶקֶם
RB<====/,nmpr,Reba,רֶבַע
MLQWX/,subs,what is taken,מַלְקֹוחַ
BDJL=/,subs,tin,בְּדִיל
MKS/,subs,tax,מֶכֶס
MXYH/,subs,half,מֶחֱצָה
>Y<DH/,subs,bracelet,אֶצְעָדָה
<GJL/,subs,adornment,עָגִיל
<VRWT/,nmpr,Ataroth,עֲטָרֹות
NMRH/,nmpr,Nimrah,נִמְרָה
>L<LH/,nmpr,Elealeh,אֶלְעָלֵה
FBM/,nmpr,Sebam,שְׂבָם
NBW=/,nmpr,<mountain>,נְבֹו
B<N/,nmpr,Beon,בְּעֹן
QDC_BRN</,nmpr,Kadesh Barnea,קָדֵשׁ בַּרְנֵעַ
TRBWT/,subs,increase,תַּרְבּוּת
GDRH/,subs,heap of stones,גְּדֵרָה
XWC[,verb,make haste,חושׁ
YN>/,subs,<uncertain>,צֹנָא
GBWLH/,subs,boundary,גְּבוּלָה
<RW<R=/,nmpr,Aroer,עֲרֹועֵר
<VRWT_CWPN/,nmpr,Atroth Shophan,עַטְרֹות שֹׁופָן
JGBHH/,nmpr,Jogbehah,יָגְבֳּהָה
BJT_NMRH/,nmpr,Beth Nimrah,בֵּית נִמְרָה
BJT_HRN/,nmpr,Beth Haran,בֵּית הָרָן
B<L_M<WN/,nmpr,Baal Meon,בַּעַל מְעֹון
FBMH/,nmpr,Sibmah,שִׂבְמָה
J>JR/,nmpr,Jair,יָאִיר
XWH/,subs,tent camp,חַוָּה
NBX=/,nmpr,Nobah,נֹבַח
QNT/,nmpr,Kenath,קְנָת
NBX/,nmpr,Nobah,נֹבַח
HXJRWT/,nmpr,Pi Hahiroth,הַחִירֹות
DPQH/,nmpr,Dophkah,דָּפְקָה
>LWC/,nmpr,Alush,אָלוּשׁ
RTMH/,nmpr,Rithmah,רִתְמָה
RMWN_PRY/,nmpr,Rimmon Perez,רִמֹּון פֶּרֶץ
LBNH====/,nmpr,Libnah,לִבְנָה
RSH/,nmpr,Rissah,רִסָּה
QHLTH/,nmpr,Kehelathah,קְהֵלָתָה
CPR=/,nmpr,Shepher,שֶׁפֶר
XRDH=/,nmpr,Haradah,חֲרָדָה
MQHLT/,nmpr,Makheloth,מַקְהֵלֹת
TXT=/,nmpr,Tahath,תַּחַת
TRX=/,nmpr,Terah,תָּרַח
MTQH/,nmpr,Mithcah,מִתְקָה
XCMNH/,nmpr,Hashmonah,חַשְׁמֹנָה
MSRWT/,nmpr,Moseroth,מֹסֵרֹות
BNJ_J<QN/,nmpr,Bene Jaakan,בְּנֵי יַעֲקָן
XR_HGDGD/,nmpr,Hor Haggidgad,חֹר הַגִּדְגָּד
JVBTH/,nmpr,Jotbathah,יָטְבָתָה
<BRNH/,nmpr,Abronah,עַבְרֹנָה
<YJWN_GBR/,nmpr,Ezion Geber,עֶצְיֹון גֶּבֶר
YLMNH/,nmpr,Zalmonah,צַלְמֹנָה
PWNN/,nmpr,Punon,פּוּנֹן
<JJM/,nmpr,Iyim,עִיִּים
<LMWN_DBLTJMH/,nmpr,Almon Diblathaim,עַלְמֹון דִּבְלָתָיְמָה
BJT_HJCMWT/,nmpr,Beth Jeshimoth,בֵּית הַיְשִׁמֹות
>BL_HCVJM/,nmpr,Abel Shittim,אָבֵל הַשִּׁטִּים
FK/,subs,thorn,שֵׂךְ
YNJNJM/,subs,pricks,צְנִינִים
DMH[,verb,be like,דמה
M<LH_<QRBJM/,nmpr,Scorpion Pass,מַעֲלֵה עַקְרַבִּים
TWY>WT/,subs,outlets,תֹּוצָאֹות
XYR_>DR/,nmpr,Hazar Addar,חֲצַר אַדָּר
<YMWN/,nmpr,Azmon,עַצְמֹון
T>H[,verb,draw,תאה
YDD/,nmpr,Zedad,צְדָד
ZPRWN/,nmpr,Ziphron,זִפְרֹון
XYR_<JNN/,nmpr,Hazar Enan,חֲצַר עֵינָן
CPM/,nmpr,Shepham,שְׁפָם
RBLH/,nmpr,Riblah,רִבְלָה
<JN=/,nmpr,Ain,עַיִן
MXH=[,verb,strike,מחה
KNRT/,nmpr,Kinnereth,כִּנֶּרֶת
GDJ=/,adjv,Gadite,גָּדִי
CMW>L/,nmpr,Samuel,שְׁמוּאֵל
>LJDD/,nmpr,Elidad,אֱלִידָד
KSLWN=/,nmpr,Kislon,כִּסְלֹון
BQJ/,nmpr,Bukki,בֻּקִּי
JGLJ/,nmpr,Jogli,יָגְלִי
XNJ>L/,nmpr,Hanniel,חַנִּיאֵל
>PD=/,nmpr,Ephod,אֵפֹד
CPVN/,nmpr,Shiphtan,שִׁפְטָן
PRNK/,nmpr,Parnach,פַּרְנָךְ
PLVJ>L/,nmpr,Paltiel,פַּלְטִיאֵל
<ZN/,nmpr,Azzan,עַזָּן
>XJHWD/,nmpr,Ahihud,אֲחִיהוּד
CLMJ=/,nmpr,Shelomi,שְׁלֹמִי
PDH>L/,nmpr,Pedahel,פְּדַהְאֵל
MQLV/,subs,refuge,מִקְלָט
FN>H/,subs,hatred,שִׂנְאָה
HDP[,verb,push,הדף
YDJH/,subs,malicious intent,צְדִיָּה
XNP[,verb,alienate,חנף
SWP==/,nmpr,Suph,סוּף
TPL==/,nmpr,Tophel,תֹּפֶל
LBN==/,nmpr,Laban,לָבָן
DJ_ZHB/,nmpr,Dizahab,דִּי זָהָב
<CTRWT/,nmpr,Ashtaroth,עַשְׁתָּרֹות
B>R[,verb,explain,באר
CPLH=/,subs,low land,שְׁפֵלָה
LBNWN/,nmpr,Lebanon,לְבָנֹון
>JKH,inrg,how,אֵיכָה
VRX/,subs,burden,טֹרַח
XTT[,verb,be terrified,חתת
RGN[,verb,grumble,רגן
<RY[,verb,tremble,ערץ
ZWLH/,subs,except,זוּלָה
>NP[,verb,be angry,אנף
MLXMT/,subs,war,מִלְחֶמֶת
HWN[,verb,be easy,הון
DBWRH/,subs,bee,דְּבֹורָה
GRH[,verb,stir,גרה
MDRK/,subs,footstep,מִדְרָךְ
JRCH/,subs,possession,יְרֻשָּׁה
KRH=[,verb,purchase,כרה
>JLT/,nmpr,Elath,אֵילַת
YWR=[,verb,damage,צור
MW>BJ/,adjv,Moabite,מֹואָבִי
<MWNJ/,adjv,Ammonite,עַמֹּונִי
ZMZMJM/,nmpr,Zamzummites,זַמְזֻמִּים
<WJ/,adjv,Avvite,עוי֜
KPTWR=/,nmpr,Caphtor,כַּפְתֹּור
XJL[,verb,"have labour pain, to cry",חיל
QDMWT/,nmpr,Kedemoth,קְדֵמֹות
FGB[,verb,be high,שׂגב
XBL=/,subs,cord,חֶבֶל
>RGB/,nmpr,Argob,אַרְגֹּב
PRZJ=/,subs,open country,פְּרָזִי
XRMWN/,nmpr,Hermon,חֶרְמֹון
YJDNJ/,adjv,Sidonian,צִידֹנִי
FRJN/,nmpr,Sirion,שִׂרְיֹן
FNJR/,nmpr,Senir,שְׂנִיר
MJCWR/,subs,fairness,מִישֹׁור
SLKH/,nmpr,Salecah,סַלְכָה
<RF/,subs,couch,עֶרֶשׂ
RBH/,nmpr,Rabbah,רַבָּה
GCWRJ/,adjv,Geshurite,גְּשׁוּרִי
M<KTJ/,adjv,Maacathite,מַעֲכָתִי
MMLKH/,subs,kingdom,מַמְלָכָה
<BR=[,verb,be angry,עבר
BJT_P<WR/,nmpr,Beth Peor,בֵּית פְּעֹור
LMD[,verb,learn,למד
DBQ=/,adjv,"clinging, cleaving to",דָּבֵק
BJNH/,subs,understanding,בִּינָה
SML/,subs,image,סֶמֶל
NDX[,verb,wield,נדח
KWR/,subs,furnace,כּוּר
K<S[,verb,be discontent,כעס
MSH/,subs,proving,מַסָּה
BYR=/,nmpr,<place of refuge>,בֶּצֶר
RMT=/,nmpr,Ramoth,רָמֹת
GWLN/,nmpr,Golan,גֹּולָן
MNCJ/,adjv,Manassite,מְנַשִּׁי
FJ>N/,nmpr,Siyon,שִׂיאֹן
CNN=[,verb,repeat,שׁנן
XYB[,verb,hew,חצב
GD<[,verb,cut off,גדע
PSJL/,subs,idol,פָּסִיל
>LP/,subs,cattle,אֶלֶף
<CTRT=/,subs,ewe,עַשְׁתֶּרֶת
XLJ/,subs,sickness,חֳלִי
MDWH/,subs,sickness,מַדְוֶה
HWM[,verb,stir,הום
MHWMH/,subs,discomfiture,מְהוּמָה
JQC[,verb,lay snares,יקשׁ
T<B[,verb,be abhorrent,תעב
BYQ[,verb,swell,בצק
MSKNT/,subs,poverty,מִסְכֵּנֻת
<QRB/,subs,scorpion,עַקְרָב
YM>WN/,subs,thirsty ground,צִמָּאֹון
XLMJC/,subs,flint,חַלָּמִישׁ
<YM=/,subs,might,עֹצֶם
RC<H/,subs,guilt,רִשְׁעָה
JCR=/,subs,uprightness,יֹשֶׁר
JGR[,verb,be afraid,יגר
QCJ/,subs,stubbornness,קְשִׁי
RC<=/,subs,guilt,רֶשַׁע
B>RT_BNJ_J<QN/,nmpr,the wells of the Jaakanites,בְּאֵרֹת בְּנֵי יַעֲקָן
MWSRH=/,nmpr,Moserah,מֹוסֵרָה
GDGD/,nmpr,Hor Haggidgad,גִּדְגָּד
MWSR/,subs,chastening,מוּסָר
YWP[,verb,flow,צוף
JRQ=/,subs,greens,יָרָק
JWRH/,subs,early rain,יֹורֶה
MLQWC/,subs,spring-rain,מַלְקֹושׁ
GRZJM/,nmpr,Gerizim,גְּרִזִים
<JBL/,nmpr,Ebal,עֵיבָל
MBW>/,subs,entrance,מָבֹוא
